,Team,Year,Bronze,Gold,Silver
250,Canada,1960,0,0,9
251,Canada,1964,1,2,2
252,Canada,1968,4,3,3
253,Canada,1972,9,0,2
254,Canada,1976,14,0,9
255,Canada,1984,32,19,36
256,Canada,1988,14,4,5
257,Canada,1992,12,27,5
258,Canada,1996,10,8,30
259,Canada,2000,23,4,4
260,Canada,2004,4,3,10
261,Canada,2008,11,11,13
262,Canada,2012,33,1,21
263,Canada,2016,61,4,4
264,Canada-1,1996,2,0,0
265,Caprice,1932,4,0,0
266,Carabinier-15,1900,0,1,0
267,"Central Turnverein, Chicago",1904,6,0,0
268,Century Boat Club-1,1904,0,4,0
269,Cercle de l'Aviron Roubaix-4,1900,0,5,0
270,Chicago Athletic Association,1904,0,0,5
271,Chicago Athletic Association-2,1904,0,0,11
272,Chile,1928,0,0,1
273,Chile,1952,0,0,4
274,Chile,1956,2,0,2
275,Chile,1988,0,0,1
276,Chile,2000,17,0,0
277,Chile,2004,1,3,0
278,Chile,2008,0,0,1
279,China,1984,37,24,13
280,China,1988,30,4,16
281,China,1992,15,14,41
282,China,1996,15,13,66
283,China,2000,15,31,19
284,China,2004,13,42,27
285,China,2008,49,72,49
286,China,2012,29,50,38
287,China,2016,35,44,30
288,China-1,1988,0,2,0
289,China-1,1992,0,2,4
290,China-1,1996,0,2,2
291,China-1,2000,2,2,2
292,China-1,2004,0,8,0
293,China-1,2008,4,2,4
294,China-1,2012,0,6,0
295,China-1,2016,2,2,0
296,China-2,1992,4,2,0
297,China-2,1996,2,4,2
298,China-2,2000,0,6,2
299,China-2,2004,2,2,0
300,China-2,2008,4,0,0
301,China-2,2012,0,0,2
302,Chinese Taipei,1960,0,0,1
303,Chinese Taipei,1968,1,0,0
304,Chinese Taipei,1984,1,0,0
305,Chinese Taipei,1992,0,0,20
306,Chinese Taipei,1996,0,0,1
307,Chinese Taipei,2000,4,0,1
308,Chinese Taipei,2004,3,2,4
309,Chinese Taipei,2008,4,0,0
310,Chinese Taipei,2012,1,0,1
311,Chinese Taipei,2016,4,1,0
312,Christian Brothers' College-1,1904,0,0,11
313,Chuckles,1956,2,0,0
314,Cicely-1,1900,0,1,0
315,Cincinnati Archers,1904,0,4,4
316,Clearwater,2008,1,0,0
317,Club Nautique de Lyon-2,1900,0,0,4
318,Cobweb-1,1908,0,5,0
319,Colombia,1972,2,0,1
320,Colombia,1984,0,0,1
321,Colombia,1988,1,0,0
322,Colombia,1992,1,0,0
323,Colombia,2000,0,1,0
324,Colombia,2004,2,0,0
325,Colombia,2008,1,0,1
326,Colombia,2012,4,1,3
327,Colombia,2016,3,3,2
328,Comanche,1952,0,0,2
329,Complex II,1952,0,4,0
330,Cornwall,1908,0,0,15
331,Costa Rica,1988,0,0,1
332,Costa Rica,1996,0,1,0
333,Costa Rica,2000,2,0,0
334,Cote d'Ivoire,1984,0,0,1
335,Cote d'Ivoire,2016,1,1,0
336,Crabe II-1,1900,0,0,5
337,Crabe II-4,1900,5,0,0
338,Croatia,1992,3,0,12
339,Croatia,1996,0,16,12
340,Croatia,2000,9,1,0
341,Croatia,2004,3,15,3
342,Croatia,2008,3,0,2
343,Croatia,2012,16,15,4
344,Croatia,2016,2,7,15
345,Cuba,1900,0,1,1
346,Cuba,1904,0,5,0
347,Cuba,1964,0,0,1
348,Cuba,1968,0,0,10
349,Cuba,1972,18,3,1
350,Cuba,1976,14,6,4
351,Cuba,1980,5,8,7
352,Cuba,1992,14,42,13
353,Cuba,1996,10,37,8
354,Cuba,2000,12,18,35
355,Cuba,2004,22,32,8
356,Cuba,2008,11,2,34
357,Cuba,2012,6,5,3
358,Cuba,2016,4,5,2
359,Cyprus,2012,0,0,1
360,Czech Republic,1996,4,4,3
361,Czech Republic,2000,2,2,3
362,Czech Republic,2004,4,1,6
363,Czech Republic,2008,0,3,4
364,Czech Republic,2012,6,4,2
365,Czech Republic,2016,10,1,2
366,Czech Republic-1,1996,0,0,2
367,Czech Republic-1,2000,2,0,0
368,Czech Republic-1,2004,2,0,0
369,Czech Republic-1,2012,0,0,2
370,Czech Republic-1,2016,2,0,0
371,Czechoslovakia,1920,10,0,0
372,Czechoslovakia,1924,5,1,4
373,Czechoslovakia,1928,2,2,12
374,Czechoslovakia,1932,2,1,3
375,Czechoslovakia,1936,1,5,12
376,Czechoslovakia,1948,3,14,3
377,Czechoslovakia,1952,10,11,4
378,Czechoslovakia,1956,1,1,5
379,Czechoslovakia,1960,11,4,7
380,Czechoslovakia,1964,12,5,37
381,Czechoslovakia,1968,15,7,7
382,Czechoslovakia,1972,6,2,21
383,Czechoslovakia,1976,9,2,4
384,Czechoslovakia,1980,16,17,18
385,Czechoslovakia,1988,3,3,4
386,Czechoslovakia,1992,1,4,1
387,Czechoslovakia-1,1992,0,0,2
388,Denmark,1896,3,1,2
389,Denmark,1900,2,1,3
390,Denmark,1906,1,14,19
391,Denmark,1908,3,0,14
392,Denmark,1912,28,0,46
393,Denmark,1920,1,26,44
394,Denmark,1924,3,2,6
395,Denmark,1928,4,6,1
396,Denmark,1932,4,0,7
397,Denmark,1936,3,0,3
398,Denmark,1948,24,7,17
399,Denmark,1952,5,3,1
400,Denmark,1956,1,1,1
401,Denmark,1960,4,2,12
402,Denmark,1964,4,4,1
403,Denmark,1968,6,5,6
404,Denmark,1972,0,1,0
405,Denmark,1976,5,3,0
406,Denmark,1980,2,4,2
407,Denmark,1984,10,0,3
408,Denmark,1988,3,3,1
409,Denmark,1992,9,3,2
410,Denmark,1996,1,21,1
411,Denmark,2000,4,18,3
412,Denmark,2004,7,19,1
413,Denmark,2008,3,6,7
414,Denmark,2012,6,3,5
415,Denmark,2016,16,15,10
416,Denmark-1,2012,2,0,0
417,Denmark-2,2004,2,0,0
418,Denmark/Sweden,1900,0,6,0
419,Deutscher Schwimm Verband Berlin,1900,0,4,0
420,Devon and Somerset Wanderers,1900,0,12,0
421,Digby,2008,1,0,0
422,Djibouti,1988,1,0,0
423,Djinn,1948,0,0,5
424,Dominican Republic,1984,1,0,0
425,Dominican Republic,2004,0,1,0
426,Dominican Republic,2008,0,1,1
427,Dominican Republic,2012,0,1,1
428,Dominican Republic,2016,1,0,0
429,Don Schufro,2008,1,0,0
430,Dormy-1,1908,0,3,0
431,East Germany,1968,19,13,20
432,East Germany,1972,57,28,64
433,East Germany,1976,42,102,51
434,East Germany,1980,61,115,88
435,East Germany,1988,48,79,54
436,East Germany-1,1972,0,2,0
437,Ecuador,1996,0,1,0
438,Ecuador,2008,0,0,1
439,Edelweiss II-1,1920,0,3,0
440,Egypt,1928,1,2,1
441,Egypt,1936,2,2,1
442,Egypt,1948,1,2,2
443,Egypt,1952,1,0,0
444,Egypt,1984,0,0,1
445,Egypt,2004,3,1,1
446,Egypt,2008,1,0,0
447,Egypt,2012,0,0,2
448,Egypt,2016,3,0,0
449,Eleda,1920,0,7,0
450,Elisabeth V,1924,0,3,0
451,Elisabeth X,1952,0,0,5
452,Elsie,1920,0,0,4
453,Elvis Va,2008,0,1,0
454,Emily,1924,0,0,5
455,Encore,1952,0,0,3
456,England,1912,0,0,1
457,England-1,1908,0,11,0
458,England-1,1912,0,0,12
459,Eritrea,2004,1,0,0
460,Erna Signe,1912,0,0,10
461,Espadarte,1952,2,0,0
462,Esterel-1,1900,0,2,0
463,Estonia,1920,0,1,2
464,Estonia,1924,4,1,1
465,Estonia,1928,1,2,1
466,Estonia,1936,3,2,2
467,Estonia,1992,2,1,0
468,Estonia,2000,2,1,0
469,Estonia,2004,2,0,1
470,Estonia,2008,0,1,2
471,Estonia,2012,1,0,1
472,Estonia,2016,4,0,0
473,Ethiopia,1960,0,1,0
474,Ethiopia,1964,0,1,0
475,Ethiopia,1968,0,1,1
476,Ethiopia,1972,2,0,0
477,Ethiopia,1980,2,2,0
478,Ethiopia,1992,2,1,0
479,Ethiopia,1996,1,2,0
480,Ethiopia,2000,3,4,1
481,Ethiopia,2004,2,2,3
482,Ethiopia,2008,2,4,1
483,Ethiopia,2012,3,3,1
484,Ethiopia,2016,5,1,2
485,Ethnikos Gymnastikos Syllogos,1896,2,0,0
486,Falcon IV,1956,0,0,2
487,Fantlet-7,1900,0,1,0
488,Favorite Hammonia-3,1900,6,0,0
489,Favorite-1,1900,0,0,8
490,Femur-1,1900,0,1,0
491,Fiji,2016,0,13,0
492,Finland,1906,1,2,1
493,Finland,1908,28,1,1
494,Finland,1912,10,9,33
495,Finland,1920,17,21,14
496,Finland,1924,15,24,13
497,Finland,1928,9,8,8
498,Finland,1932,16,5,8
499,Finland,1936,13,8,6
500,Finland,1948,8,17,8
501,Finland,1952,24,8,3
502,Finland,1956,22,3,1
503,Finland,1960,4,1,1
504,Finland,1964,2,3,0
505,Finland,1968,1,1,2
506,Finland,1972,6,3,1
507,Finland,1976,0,4,2
508,Finland,1980,5,3,1
509,Finland,1984,6,4,2
510,Finland,1988,2,1,1
511,Finland,1992,2,1,4
512,Finland,1996,1,1,2
513,Finland,2000,1,3,1
514,Finland,2004,0,0,2
515,Finland,2008,2,1,2
516,Finland,2012,4,0,1
517,Finland,2016,1,0,0
518,Formosa,1900,1,0,0
519,Fornebo,1920,0,0,4
520,Foxhunters Hurlingham,1900,0,5,0
521,France,1896,2,5,4
522,France,1900,26,22,27
523,France,1904,0,0,1
524,France,1906,17,20,8
525,France,1908,20,11,5
526,France,1912,5,7,11
527,France,1920,55,11,68
528,France,1924,15,37,49
529,France,1928,14,6,24
530,France,1932,6,26,8
531,France,1936,18,13,13
532,France,1948,24,26,22
533,France,1952,17,14,9
534,France,1956,13,7,13
535,France,1960,6,0,6
536,France,1964,17,1,13
537,France,1968,10,12,5
538,France,1972,15,2,5
539,France,1976,8,5,7
540,France,1980,6,18,5
541,France,1984,31,20,16
542,France,1988,13,12,4
543,France,1992,41,9,5
544,France,1996,20,19,10
545,France,2000,12,22,30
546,France,2004,22,21,10
547,France,2008,28,25,24
548,France,2012,20,30,28
549,France,2016,21,20,55
550,France-1,1900,3,0,1
551,France-1,1924,0,0,2
552,France-1,1992,2,0,0
553,France-1,1996,0,2,0
554,France-1,2000,2,0,0
555,France-1,2012,0,0,2
556,France-2,1924,2,0,0
557,France-2,2012,2,0,0
558,France-3,1920,2,2,0
559,France/Great Britain,1900,0,0,2
560,Frankfurt Club,1900,0,0,15
561,Frimousse,1900,1,0,0
562,Gabon,2012,0,0,1
563,Gallant,1932,0,0,5
564,Gallia II,1912,7,0,0
565,Galt Football Club,1904,0,13,0
566,Gem,1964,0,2,0
567,Gem IV,1956,2,0,0
568,Georgia,1996,2,0,0
569,Georgia,2000,6,0,0
570,Georgia,2004,0,2,2
571,Georgia,2008,3,3,0
572,Georgia,2012,3,1,3
573,Georgia,2016,4,2,1
574,Germania II,1936,6,0,0
575,"Germania Ruder Club, Hamburg-2",1900,0,5,0
576,Germany,1896,2,24,5
577,Germany,1900,0,1,1
578,Germany,1904,6,4,5
579,Germany,1906,6,14,10
580,Germany,1908,4,4,11
581,Germany,1912,14,6,19
582,Germany,1928,41,21,15
583,Germany,1932,7,10,26
584,Germany,1936,55,91,69
585,Germany,1952,23,0,14
586,Germany,1956,23,9,20
587,Germany,1960,19,34,33
588,Germany,1964,50,22,41
589,Germany,1992,60,81,57
590,Germany,1996,45,42,35
591,Germany,2000,62,31,23
592,Germany,2004,63,41,43
593,Germany,2008,41,39,16
594,Germany,2012,22,43,27
595,Germany,2016,67,47,43
596,Germany-1,1996,2,0,0
597,Germany-1,2000,2,0,0
598,Germany-1,2004,0,0,2
599,Germany-1,2012,0,2,0
600,Germany-1,2016,0,2,0
601,Ghana,1960,0,0,1
602,Ghana,1964,1,0,0
603,Ghana,1972,1,0,0
604,Ghana,1992,20,0,0
605,Gitana-2,1900,5,0,5
606,Glider,1964,0,0,2
607,Great Britain,1896,2,2,3
608,Great Britain,1900,7,9,6
609,Great Britain,1904,0,1,1
610,Great Britain,1906,8,9,14
611,Great Britain,1908,34,69,64
612,Great Britain,1912,57,36,35
613,Great Britain,1920,15,46,40
614,Great Britain,1924,17,15,23
615,Great Britain,1928,24,7,27
616,Great Britain,1932,14,9,10
617,Great Britain,1936,7,7,16
618,Great Britain,1948,12,5,42
619,Great Britain,1952,26,3,2
620,Great Britain,1956,17,8,12
621,Great Britain,1960,15,2,11
622,Great Britain,1964,5,4,17
623,Great Britain,1968,5,9,5
624,Great Britain,1972,12,8,9
625,Great Britain,1976,11,6,15
626,Great Britain,1980,24,5,18
627,Great Britain,1984,42,9,20
628,Great Britain,1988,15,22,17
629,Great Britain,1992,39,8,3
630,Great Britain,1996,9,2,15
631,Great Britain,2000,10,22,20
632,Great Britain,2004,15,17,23
633,Great Britain,2008,25,31,25
634,Great Britain,2012,48,46,28
635,Great Britain,2016,26,64,55
636,Great Britain-1,1900,0,2,0
637,Great Britain-1,1908,0,12,2
638,Great Britain-1,1912,0,0,2
639,Great Britain-1,1920,2,0,0
640,Great Britain-1,1924,2,0,0
641,Great Britain-1,2004,0,0,2
642,Great Britain-1,2012,0,2,0
643,Great Britain-2,1900,2,0,0
644,Great Britain-2,1908,8,0,6
645,Great Britain-2,1912,2,2,0
646,Great Britain-2,1920,0,2,0
647,Great Britain-2,1924,0,0,2
648,Great Britain-2,2000,2,0,0
649,Great Britain-2,2012,0,0,2
650,Great Britain-3,1908,4,0,0
651,Great Britain-3,1920,0,0,2
652,Great Britain/Germany,1896,0,2,0
653,Greece,1896,18,10,16
654,Greece,1904,1,1,0
655,Greece,1906,10,7,11
656,Greece,1908,1,0,3
657,Greece,1912,1,1,0
658,Greece,1920,0,0,5
659,Greece,1924,0,1,0
660,Greece,1956,1,0,0
661,Greece,1968,1,0,0
662,Greece,1972,0,0,2
663,Greece,1980,4,1,0
664,Greece,1984,1,0,1
665,Greece,1988,1,0,0
666,Greece,1992,0,2,0
667,Greece,1996,0,4,4
668,Greece,2000,8,4,6
669,Greece,2004,5,8,18
670,Greece,2008,4,0,3
671,Greece,2012,3,0,0
672,Greece,2016,3,3,1
673,Greece-1,1896,0,0,2
674,Greece-1,1906,0,0,4
675,Greece-2,1906,2,0,0
676,Grenada,2012,0,1,0
677,Grenada,2016,0,0,1
678,Guatemala,2012,0,0,1
679,Gustel X,1952,3,0,0
680,Guyana,1980,1,0,0
681,Guyoni,1908,3,0,0
682,Gwendoline-2,1900,3,0,0
683,Gyrinus-1,1908,0,6,0
684,Haiti,1924,5,0,0
685,Haiti,1928,0,0,1
686,Heatherbell,1912,7,0,0
687,Heira II,1920,0,9,0
688,Hera-1,1908,0,10,0
689,Heroine,1908,0,4,0
690,Hi-Hi,1928,0,0,4
691,Hilarius,1948,0,2,0
692,Hojwa,1952,3,0,0
693,Hollandia,1928,0,0,6
694,Hong Kong,1996,0,1,0
695,Hong Kong,2012,1,0,0
696,Hong Kong-2,2004,0,0,2
697,Humbug V,1964,2,0,0
698,Hungary,1896,3,2,1
699,Hungary,1900,2,1,2
700,Hungary,1904,1,2,1
701,Hungary,1906,3,5,5
702,Hungary,1908,6,7,7
703,Hungary,1912,3,10,17
704,Hungary,1924,8,2,12
705,Hungary,1928,0,10,11
706,Hungary,1932,8,20,5
707,Hungary,1936,15,25,1
708,Hungary,1948,22,15,25
709,Hungary,1952,32,53,17
710,Hungary,1956,14,30,20
711,Hungary,1960,37,13,16
712,Hungary,1964,7,42,7
713,Hungary,1968,29,32,20
714,Hungary,1972,25,10,46
715,Hungary,1976,35,14,6
716,Hungary,1980,40,8,13
717,Hungary,1988,15,20,9
718,Hungary,1992,8,14,23
719,Hungary,1996,26,8,9
720,Hungary,2000,4,25,24
721,Hungary,2004,4,24,12
722,Hungary,2008,3,16,8
723,Hungary,2012,6,12,8
724,Hungary,2016,7,12,3
725,Hurlingham-2,1908,0,0,4
726,Iceland,1956,0,0,1
727,Iceland,1984,1,0,0
728,Iceland,2000,1,0,0
729,Iceland,2008,0,0,14
730,Independent Rowing Club-3,1904,2,0,0
731,India,1900,0,0,2
732,India,1928,0,14,0
733,India,1932,0,15,0
734,India,1936,0,19,0
735,India,1948,0,20,0
736,India,1952,1,14,0
737,India,1956,0,17,0
738,India,1960,0,0,13
739,India,1964,0,15,0
740,India,1968,16,0,0
741,India,1972,14,0,0
742,India,1980,0,16,0
743,India,1996,1,0,0
744,India,2000,1,0,0
745,India,2004,0,0,1
746,India,2008,2,1,0
747,India,2012,4,0,2
748,India,2016,1,0,1
749,Individual Olympic Athletes,1992,2,0,1
750,Individual Olympic Athletes,2016,1,1,0
751,Indonesia,1988,0,0,3
752,Indonesia,1992,1,2,1
753,Indonesia,1996,1,2,1
754,Indonesia,2000,2,2,2
755,Indonesia,2004,1,1,1
756,Indonesia,2008,3,0,0
757,Indonesia,2012,1,0,1
758,Indonesia,2016,0,0,2
759,Indonesia-1,1992,0,0,2
760,Indonesia-1,1996,2,0,0
761,Indonesia-1,2000,0,0,2
762,Indonesia-1,2004,2,0,0
763,Indonesia-1,2008,0,2,2
764,Indonesia-1,2016,0,2,0
765,Iran,1948,1,0,0
766,Iran,1952,4,0,3
767,Iran,1956,1,2,2
768,Iran,1960,3,0,1
769,Iran,1964,2,0,0
770,Iran,1968,2,2,1
771,Iran,1972,1,0,2
772,Iran,1976,1,0,1
773,Iran,1988,0,0,1
774,Iran,1992,2,0,1
775,Iran,1996,1,1,1
776,Iran,2000,1,3,0
777,Iran,2004,2,2,2
778,Iran,2008,1,1,0
779,Iran,2012,3,4,5
780,Iran,2016,4,3,1
781,Iraq,1960,1,0,0
782,Ireland,1924,1,0,1
783,Ireland,1928,0,1,0
784,Ireland,1932,0,2,0
785,Ireland,1948,1,0,0
786,Ireland,1952,0,0,1
787,Ireland,1956,3,1,1
788,Ireland,1964,1,0,0
789,Ireland,1980,1,0,2
790,Ireland,1984,0,0,1
791,Ireland,1992,0,1,1
792,Ireland,1996,1,3,0
793,Ireland,2000,0,0,1
794,Ireland,2008,2,0,1
795,Ireland,2012,3,1,1
796,Ireland,2016,0,0,3
797,Ireland-2,1908,0,0,12
798,Ireland-3,1908,0,0,4
799,Irene,1920,0,5,0
800,Israel,1992,1,0,1
801,Israel,1996,1,0,0
802,Israel,2000,1,0,0
803,Israel,2004,1,1,0
804,Israel,2008,1,0,0
805,Israel,2016,2,0,0
806,Italia,1936,0,6,0
807,Italy,1900,0,3,2
