,Team,Year,Bronze,Gold,Silver
1622,Uruguay,2000,0,0,1
1623,Uzbekistan,1996,1,0,1
1624,Uzbekistan,2000,2,1,1
1625,Uzbekistan,2004,2,2,1
1626,Uzbekistan,2008,3,1,2
1627,Uzbekistan,2012,2,1,0
1628,Uzbekistan,2016,7,4,2
1629,Venezuela,1952,1,0,0
1630,Venezuela,1960,1,0,0
1631,Venezuela,1968,0,1,0
1632,Venezuela,1976,0,0,1
1633,Venezuela,1980,0,0,1
1634,Venezuela,1984,3,0,0
1635,Venezuela,2004,2,0,0
1636,Venezuela,2008,1,0,0
1637,Venezuela,2012,0,1,0
1638,Venezuela,2016,2,0,1
1639,Venilia,1960,3,0,0
1640,Vesper Boat Club,1900,0,9,0
1641,Vesper Boat Club,1904,0,9,0
1642,Vietnam,2000,0,0,1
1643,Vietnam,2008,0,0,1
1644,Vietnam,2016,0,1,1
1645,Vinga-1,1908,0,0,5
1646,Vision,1956,0,0,4
1647,Wales-4,1908,11,0,0
1648,Wannsee,1936,0,2,0
1649,Web II,1960,0,0,3
1650,West Germany,1968,18,17,16
1651,West Germany,1972,39,44,17
1652,West Germany,1976,32,21,25
1653,West Germany,1984,53,30,75
1654,West Germany,1988,46,32,37
1655,West Germany-1,1972,0,0,2
1656,West Indies Federation,1960,5,0,0
1657,Western Golf Association-1,1904,0,10,0
1658,Western Rowing Club-3,1904,6,0,0
1659,White Lady,1964,0,3,0
1660,Widgeon,1964,2,0,0
1661,Willem-Six,1924,3,0,0
1662,Winnipeg Shamrocks-1,1904,0,12,0
1663,Yugoslavia,1924,0,2,0
1664,Yugoslavia,1928,10,1,1
1665,Yugoslavia,1936,0,0,1
1666,Yugoslavia,1948,0,0,16
1667,Yugoslavia,1952,0,4,20
1668,Yugoslavia,1956,0,0,23
1669,Yugoslavia,1960,0,16,1
1670,Yugoslavia,1964,2,2,11
1671,Yugoslavia,1968,2,13,14
1672,Yugoslavia,1972,2,15,1
1673,Yugoslavia,1976,3,2,14
1674,Yugoslavia,1980,17,13,27
1675,Yugoslavia,1984,35,47,5
1676,Yugoslavia,1988,21,15,27
1677,Zambia,1984,1,0,0
1678,Zambia,1996,0,0,1
1679,Zimbabwe,1980,0,15,0
1680,Zimbabwe,2004,1,1,1
1681,Zimbabwe,2008,0,1,3
1682,Zut,1908,0,0,3
